scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,iterations,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
53,True,0.0,-1.0,44,14.363828897476196,4,9,5,3.735097941954654,1.9933815734529856,4,30,25,5
54,True,0.0,-1.0,27,14.174527883529663,2,5,17,2.8336098689732916,1.238961915839229,4,30,25,5
55,True,0.0,-1.0,6,19.075223207473755,0,10,51,4.417905252723536,1.6550856965278689,7,30,25,5
56,True,0.0,-1.0,44,37.27465581893921,4,5,45,0.5760626651538943,3.942403203307827,3,30,25,5
57,False,3.9977305956635227,3.9977305956635227,101,56.47309327125549,10,3,43,2.607403856979058,3.523701009255635,2,30,25,5
58,True,0.0,-1.0,5,9.940409183502197,0,7,22,4.459251241538469,1.7292743564716355,4,30,25,5
59,True,0.0,-1.0,14,20.07114601135254,1,9,37,4.217297756894759,1.3508313407417498,7,30,25,5
60,False,3.9994021026795252,3.9994021026795252,101,29.72666597366333,10,4,23,0.6221587635275205,1.16416266232667,3,30,25,5
61,True,0.0,-1.0,8,8.58965802192688,0,6,25,3.9737102818651993,3.0134293105016945,4,30,25,5
62,True,0.0,-1.0,25,20.34407091140747,2,6,39,3.864979868068306,3.342092153013917,1,30,25,5
63,False,4.000128739783832,4.000128739783832,101,232.98367834091187,10,6,36,4.965164909868307,1.5900621290297097,3,30,25,5
64,True,0.0,-1.0,29,32.112099170684814,2,7,57,2.8550283311333424,1.197132812287132,0,30,25,5
65,False,4.000019656574652,4.000019656574652,101,16.296432733535767,10,4,7,2.8319997989281402,2.1245756901138826,3,30,25,5
66,True,0.0,-1.0,21,31.14789915084839,1,10,56,3.6176815900594703,1.2188043286878474,7,30,25,5
67,True,0.0,-1.0,8,11.715713024139404,0,9,28,1.0712223599003408,2.541955107435108,5,30,25,5
68,True,0.0,-1.0,62,36.44897723197937,6,6,32,4.317468235488886,3.020566815955711,5,30,25,5
69,False,3.9995429368896125,3.9995429368896125,101,49.54253435134888,10,3,37,2.8708341611875055,3.5948849763608988,1,30,25,5
70,True,0.0,-1.0,13,18.251011848449707,1,8,26,3.75712632910402,1.966567978737936,0,30,25,5
71,True,0.0,-1.0,29,15.27134895324707,2,10,19,2.873924760408916,3.282959676251312,3,30,25,5
72,True,0.0,-1.0,31,32.83684301376343,2,10,51,0.5300380520528418,1.6943447667091487,0,30,25,5
73,True,0.0,-1.0,54,30.509227991104126,5,9,32,1.865153920376436,1.8057033436113876,8,30,25,5
74,False,3.9855947363104156,3.9855947363104156,101,76.61678791046143,10,4,55,2.843244275818639,3.0292124183898936,3,30,25,5
75,True,0.0,-1.0,4,209.3427882194519,0,8,16,1.189080710734787,2.9927513575723808,2,30,25,5
76,True,0.0,-1.0,27,28.076921939849854,2,7,50,4.934854877791664,3.047199224404632,6,30,25,5
77,False,4.000000072507072,4.000000072507072,101,65.70554804801941,10,3,49,2.9802738011014185,1.7316645908603148,2,30,25,5
78,True,0.0,-1.0,14,19.24402618408203,1,8,28,4.618108867052761,2.5543495608171773,1,30,25,5
79,True,0.0,-1.0,62,57.51045203208923,6,3,56,0.822301730629315,3.7692440620065657,0,30,25,5
