scenario_id,crashed,min_distance,fitness,total_evaluations,total_time_seconds,crashes_found_count,lanes_count,vehicles_count,initial_spacing,ego_spacing,initial_lane_id,duration,simulation_frequency,policy_frequency
46,True,0.0,-1.0,13,8.975052833557129,2,8,39,2.755132638515972,3.042835998714383,3,30,25,5
47,True,0.0,-1.0,101,45.39158487319946,2,9,53,2.8799810630705567,3.907461684026601,8,30,25,5
48,True,0.0,-1.0,93,36.36647605895996,1,10,35,4.092559381634014,2.7359254154232424,3,30,25,5
49,True,0.0,-1.0,101,42.597662925720215,3,10,8,2.1751208531599318,3.155977866678726,6,30,25,5
50,False,4.000301664510126,4.000301664510126,10,8.670131921768188,0,10,11,4.930580309205773,2.7368186017656475,4,30,25,5
51,True,0.0,-1.0,101,45.32731080055237,6,7,36,0.8581974362913307,3.298884604603977,5,30,25,5
52,False,3.999570673592551,3.999570673592551,16,9.645148038864136,0,4,15,1.6954063515181066,3.8884358570568307,0,30,25,5
53,True,0.0,-1.0,27,14.940797805786133,1,6,31,0.902549699373049,1.2175114304567365,3,30,25,5
54,True,0.0,-1.0,28,13.434216022491455,2,10,15,3.4843014178916394,3.0453386316270548,2,30,25,5
55,True,0.0,-1.0,61,26.72962212562561,1,9,11,4.574575408142719,1.7905799668305742,5,30,25,5
56,False,3.996641773262067,3.996641773262067,12,8.283402919769287,0,5,45,0.5760626651538943,3.942403203307827,3,30,25,5
57,False,4.000264909018127,4.000264909018127,36,18.945068836212158,0,4,56,2.036536647036251,1.742250829754118,2,30,25,5
58,True,0.0,-1.0,5,5.951496362686157,1,7,22,4.459251241538469,1.7292743564716355,4,30,25,5
59,True,0.0,-1.0,23,15.570710897445679,1,10,58,1.827479230677873,3.9138054704815524,0,30,25,5
60,True,0.0,-1.0,101,43.02752375602722,4,9,53,4.155115118205939,3.9323353886076298,5,30,25,5
61,False,4.000691119986272,4.000691119986272,8,9.085100173950195,0,4,58,2.771714178571859,3.1010542240455874,3,30,25,5
62,False,3.99937562857806,3.99937562857806,25,12.845231056213379,0,3,9,4.186249610856127,3.5011421913192526,1,30,25,5
63,True,0.0,-1.0,101,40.649062156677246,3,9,26,4.9332028162712245,3.823101785525683,1,30,25,5
64,True,0.0,-1.0,36,19.15008282661438,2,9,43,2.2721209856074323,3.939866170392915,7,30,25,5
65,True,0.0,-1.0,101,41.166183948516846,4,10,40,3.8410310750971757,2.2682532689713297,4,30,25,5
66,False,4.000110509706458,4.000110509706458,27,13.12704586982727,0,5,51,1.684116781911516,1.7385498071933814,2,30,25,5
67,True,0.0,-1.0,37,18.53751492500305,2,5,45,2.4407174799255476,1.9248828062737953,2,30,25,5
68,False,4.000049556445785,4.000049556445785,62,27.409340858459473,0,4,28,1.0543382841865656,3.011741593888542,2,30,25,5
69,True,0.0,-1.0,33,15.062501192092896,3,9,29,0.538029970606146,3.035421120909146,4,30,25,5
70,True,0.0,-1.0,13,9.870304107666016,1,10,59,1.8283181021151234,1.7816669935135805,6,30,25,5
71,True,0.0,-1.0,57,26.46666121482849,2,6,52,2.8548402986777464,3.8973086717304075,2,30,25,5
72,False,4.008102665692358,4.008102665692358,9,8.493462085723877,0,3,57,2.696058476384492,3.889275538380886,1,30,25,5
73,True,0.0,-1.0,29,15.577023983001709,1,8,13,0.8666938104411113,2.1889590728360253,7,30,25,5
74,True,0.0,-1.0,101,43.857545137405396,3,10,59,4.557036810769726,3.79253646597228,2,30,25,5
75,True,0.0,-1.0,9,9.317222833633423,1,9,58,4.4005009264526285,1.0378059512034148,5,30,25,5
76,False,4.000033086112157,4.000033086112157,21,12.52816390991211,0,9,22,0.5090746413981677,1.093820022141533,2,30,25,5
77,True,0.0,-1.0,29,13.76302695274353,1,5,59,2.2556930502432384,3.4039020389270815,1,30,25,5
78,True,0.0,-1.0,54,22.815852880477905,2,5,7,4.4879843301749895,1.990434515150965,3,30,25,5
79,True,0.0,-1.0,101,42.33938121795654,2,4,55,4.931647628417819,1.8162460969890484,1,30,25,5
80,True,0.0,-1.0,1,2.6773509979248047,1,10,46,0.5828845857188196,1.10990112812964,4,30,25,5
81,True,0.0,-1.0,18,11.394453048706055,1,3,28,1.3746746870582418,3.6455183009753127,2,30,25,5
82,False,4.031430803524851,4.031430803524851,11,9.625988960266113,0,4,19,2.3362360749129083,3.2070521463570296,2,30,25,5
83,False,4.013231444344921,4.013231444344921,6,7.861567974090576,0,4,34,2.414265722207202,2.8410940463487906,1,30,25,5
84,False,4.000041464512673,4.000041464512673,37,18.64779019355774,0,4,60,1.658394806784313,2.4934517496052173,0,30,25,5
85,True,0.0,-1.0,36,16.086991786956787,1,10,50,2.1862694302867096,2.143002466561665,2,30,25,5
86,False,4.001907544357092,4.001907544357092,26,15.065874814987183,0,4,59,3.1268913532410223,2.9271347678318618,0,30,25,5
87,False,8.002008914903497,8.002008914903497,2,4.9327099323272705,0,7,36,4.0259268944115645,1.5171759793999813,5,30,25,5
88,True,0.0,-1.0,1,2.125307083129883,1,7,16,3.6643439956766493,3.065528498743009,6,30,25,5
89,False,4.016810889464467,4.016810889464467,31,16.441890954971313,0,3,25,2.723018938579512,3.382017403568862,0,30,25,5
90,True,0.0,-1.0,6,7.899111986160278,1,8,43,1.7326990363440866,3.4969640127662043,2,30,25,5
91,True,0.0,-1.0,1,3.1026859283447266,1,8,20,4.596129379724313,3.457944756214527,6,30,25,5
92,True,0.0,-1.0,81,39.74538969993591,2,9,41,2.2358582010083707,2.681205823331872,8,30,25,5
93,False,4.001012392515037,4.001012392515037,8,9.507030010223389,0,4,29,3.9389803833538535,1.0982716651290954,0,30,25,5
94,True,0.0,-1.0,101,44.45482778549194,2,8,45,3.7517794520173244,1.9424148536892047,4,30,25,5
95,False,4.002054447207199,4.002054447207199,7,7.232662916183472,0,6,29,2.645397470781919,1.4852970972626074,2,30,25,5
96,False,4.00506894193107,4.00506894193107,5,8.513987064361572,0,5,58,4.590730391715262,1.6977276037466678,1,30,25,5
97,True,0.0,-1.0,101,37.49038910865784,2,8,33,2.450258841025518,3.248766257741954,6,30,25,5
98,True,0.0,-1.0,101,43.521477937698364,5,10,58,1.938796487102568,1.0392555119795674,7,30,25,5
99,False,4.064014975999773,4.064014975999773,7,8.947135925292969,0,10,21,1.8924725238958624,2.173238953116692,2,30,25,5
